year,month,weekday,date,trip_length_raw,rideable_type_classic_bike,rideable_type_docked_bike,rideable_type_electric_bike,member_casual_casual,member_casual_member
2022,1,6,1/6/2022,0.014016204,1,0,0,1,0
2022,1,3,1/3/2022,0.004166667,1,0,0,0,1
2022,1,6,1/6/2022,0.002939815,1,0,0,1,0
2022,1,2,1/2/2022,0.007789352,0,0,1,1,0
2022,1,3,1/3/2022,0.009386574,1,0,0,1,0
2022,1,3,1/3/2022,0.001145833,0,0,1,0,1
2022,1,5,1/5/2022,0.005752315,1,0,0,0,1
2022,1,7,1/7/2022,0.002523148,0,0,1,0,1
2022,1,2,1/2/2022,0.018333333,1,0,0,1,0
2022,1,3,1/3/2022,0.000150463,1,0,0,0,1
2022,1,2,1/2/2022,0.008136574,1,0,0,0,1
2022,1,1,1/1/2022,0.005729167,0,0,1,1,0
2022,1,3,1/3/2022,0.010740741,1,0,0,0,1
2022,1,2,1/2/2022,0.005868056,0,0,1,1,0
2022,1,2,1/2/2022,0.007534722,1,0,0,1,0
2022,1,1,1/1/2022,0.026388889,0,0,1,1,0
2022,1,3,1/3/2022,0.002071759,0,0,1,1,0
2022,1,6,1/6/2022,0.001759259,0,0,1,0,1
2022,1,6,1/6/2022,0.103333333,1,0,0,1,0
2022,1,7,1/7/2022,0.004826389,0,0,1,0,1
2022,1,4,1/4/2022,0.011053241,1,0,0,0,1
2022,1,4,1/4/2022,0.001701389,0,0,1,0,1
2022,1,6,1/6/2022,0.017013889,0,0,1,0,1
2022,1,3,1/3/2022,0.002013889,1,0,0,0,1
2022,1,3,1/3/2022,0.003483796,1,0,0,1,0
2022,1,1,1/1/2022,0.003611111,0,0,1,0,1
2022,1,2,1/2/2022,0.003553241,0,0,1,0,1
2022,1,2,1/2/2022,0.025648148,1,0,0,0,1
2022,1,4,1/4/2022,0.005960648,1,0,0,1,0
2022,1,2,1/2/2022,0.00712963,1,0,0,0,1
2022,1,1,1/1/2022,0.00744213,1,0,0,0,1
2022,1,1,1/1/2022,0.007256944,1,0,0,1,0
2022,1,1,1/1/2022,0.005810185,0,0,1,0,1
2022,1,4,1/4/2022,0.019664352,0,0,1,0,1
2022,1,1,1/1/2022,0.01400463,1,0,0,0,1
2022,1,4,1/4/2022,0.003298611,0,0,1,0,1
2022,1,5,1/5/2022,0.004155093,1,0,0,0,1
2022,1,4,1/4/2022,0.047291667,1,0,0,1,0
2022,1,5,1/5/2022,0.021527778,1,0,0,1,0
2022,1,3,1/3/2022,0.002430556,0,0,1,0,1
2022,1,4,1/4/2022,0.009097222,1,0,0,0,1
2022,1,5,1/5/2022,0.004537037,1,0,0,0,1
2022,1,3,1/3/2022,0.018541667,0,0,1,0,1
2022,1,5,1/5/2022,0.018391204,1,0,0,0,1
2022,1,4,1/4/2022,0.006597222,0,0,1,0,1
2022,1,2,1/2/2022,0.008842593,0,0,1,0,1
2022,1,7,1/7/2022,0.005138889,1,0,0,0,1
2022,1,2,1/2/2022,0.0025,1,0,0,0,1
2022,1,2,1/2/2022,0.016342593,1,0,0,0,1
2022,1,5,1/5/2022,0.017418981,1,0,0,0,1
2022,1,7,1/7/2022,0.0065625,0,0,1,0,1
2022,1,3,1/3/2022,0.002905093,0,0,1,0,1
2022,1,2,1/2/2022,0.006967593,1,0,0,0,1
2022,1,5,1/5/2022,0.006666667,1,0,0,0,1
2022,1,6,1/6/2022,0.0021875,0,1,0,1,0
2022,1,7,1/7/2022,0.034606481,1,0,0,0,1
2022,1,7,1/7/2022,0.01587963,1,0,0,0,1
2022,1,4,1/4/2022,0.009930556,0,0,1,1,0
2022,1,2,1/2/2022,0.003703704,0,0,1,0,1
2022,1,5,1/5/2022,9.26e-05,1,0,0,0,1
2022,1,7,1/7/2022,0.026122685,1,0,0,1,0
2022,1,3,1/3/2022,0.008240741,1,0,0,1,0
2022,1,7,1/7/2022,0.0059375,1,0,0,0,1
2022,1,6,1/6/2022,0.002916667,0,0,1,0,1
2022,1,6,1/6/2022,0.009560185,1,0,0,0,1
2022,1,5,1/5/2022,0.007916667,1,0,0,0,1
2022,1,4,1/4/2022,0.001006944,0,0,1,1,0
2022,1,3,1/3/2022,0.010138889,1,0,0,1,0
2022,1,5,1/5/2022,0.021215278,1,0,0,0,1
2022,1,4,1/4/2022,0.019097222,1,0,0,0,1
2022,1,4,1/4/2022,0.002592593,1,0,0,0,1
2022,1,4,1/4/2022,0.011203704,0,0,1,0,1
2022,1,4,1/4/2022,0.00818287,1,0,0,0,1
2022,1,1,1/1/2022,0.006273148,1,0,0,0,1
2022,1,7,1/7/2022,0.005069444,1,0,0,1,0
2022,1,2,1/2/2022,0.0071875,1,0,0,1,0
2022,1,1,1/1/2022,0.004212963,1,0,0,1,0
2022,1,1,1/1/2022,0.018148148,0,0,1,0,1
2022,1,5,1/5/2022,0.006273148,1,0,0,0,1
2022,1,4,1/4/2022,0.005405093,1,0,0,0,1
2022,1,1,1/1/2022,0.002002315,1,0,0,0,1
2022,1,6,1/6/2022,0.006018519,1,0,0,0,1
2022,1,2,1/2/2022,0.003888889,0,0,1,0,1
2022,1,2,1/2/2022,0.01150463,1,0,0,0,1
2022,1,5,1/5/2022,0.016157407,1,0,0,1,0
2022,1,6,1/6/2022,0.005729167,1,0,0,1,0
2022,1,6,1/6/2022,0.010266204,1,0,0,1,0
2022,1,2,1/2/2022,0.009895833,1,0,0,0,1
2022,1,2,1/2/2022,0.004074074,1,0,0,0,1
2022,1,1,1/1/2022,0.004421296,1,0,0,0,1
2022,1,4,1/4/2022,0.005173611,1,0,0,0,1
2022,1,6,1/6/2022,0.015729167,1,0,0,0,1
2022,1,1,1/1/2022,0.004178241,1,0,0,1,0
2022,1,4,1/4/2022,0.015451389,1,0,0,0,1
2022,1,7,1/7/2022,4.63e-05,1,0,0,0,1
2022,1,1,1/1/2022,0.001944444,1,0,0,0,1
2022,1,5,1/5/2022,0.001527778,1,0,0,0,1
2022,1,5,1/5/2022,0.005740741,1,0,0,0,1
2022,1,5,1/5/2022,0.012546296,1,0,0,0,1
2022,1,5,1/5/2022,0.014409722,1,0,0,0,1
2022,1,4,1/4/2022,0.032604167,1,0,0,0,1
2022,1,5,1/5/2022,0.003668981,1,0,0,0,1
2022,1,1,1/1/2022,0.006018519,0,0,1,0,1
2022,1,5,1/5/2022,0.003263889,1,0,0,0,1
2022,1,4,1/4/2022,0.006990741,1,0,0,0,1
2022,1,7,1/7/2022,0.006527778,0,0,1,0,1
2022,1,1,1/1/2022,0.019398148,1,0,0,0,1
2022,1,6,1/6/2022,0.011087963,1,0,0,1,0
2022,1,2,1/2/2022,0.005902778,1,0,0,1,0
2022,1,5,1/5/2022,0.00537037,0,0,1,1,0
2022,1,5,1/5/2022,0.005428241,1,0,0,1,0
2022,1,6,1/6/2022,0.015196759,1,0,0,1,0
2022,1,1,1/1/2022,0.006608796,0,0,1,0,1
2022,1,1,1/1/2022,0.006319444,0,0,1,0,1
2022,1,2,1/2/2022,0.040787037,1,0,0,0,1
2022,1,7,1/7/2022,0.00931713,1,0,0,0,1
2022,1,1,1/1/2022,0.009363426,1,0,0,0,1
2022,1,4,1/4/2022,0.003622685,1,0,0,0,1
2022,1,5,1/5/2022,0.005625,1,0,0,0,1
2022,1,4,1/4/2022,0.004375,0,0,1,1,0
2022,1,4,1/4/2022,0.002094907,1,0,0,0,1
2022,1,4,1/4/2022,0.006655093,1,0,0,0,1
2022,1,4,1/4/2022,0.00724537,0,0,1,0,1
2022,1,4,1/4/2022,0.003298611,1,0,0,0,1
2022,1,4,1/4/2022,0.015081019,1,0,0,0,1
2022,1,5,1/5/2022,0.009803241,1,0,0,0,1
2022,1,2,1/2/2022,0.006643519,0,0,1,0,1
2022,1,1,1/1/2022,0.008356481,0,0,1,1,0
2022,1,5,1/5/2022,0.0053125,0,0,1,0,1
2022,1,4,1/4/2022,0.007685185,1,0,0,0,1
2022,1,6,1/6/2022,0.007453704,1,0,0,0,1
2022,1,1,1/1/2022,0.006539352,1,0,0,0,1
2022,1,7,1/7/2022,0.008043981,1,0,0,0,1
2022,1,4,1/4/2022,0.007615741,0,0,1,0,1
2022,1,5,1/5/2022,0.016377315,0,0,1,0,1
2022,1,4,1/4/2022,0.002974537,0,0,1,0,1
2022,1,7,1/7/2022,0.026643519,1,0,0,0,1
2022,1,1,1/1/2022,0.00349537,1,0,0,0,1
2022,1,4,1/4/2022,0.001805556,1,0,0,0,1
2022,1,1,1/1/2022,1.16e-05,1,0,0,0,1
2022,1,5,1/5/2022,0.006643519,1,0,0,0,1
2022,1,5,1/5/2022,0.011319444,1,0,0,0,1
2022,1,6,1/6/2022,0.004606481,1,0,0,0,1
2022,1,1,1/1/2022,0.01005787,1,0,0,0,1
2022,1,7,1/7/2022,0.006469907,1,0,0,0,1
2022,1,7,1/7/2022,0.018275463,0,0,1,1,0
2022,1,4,1/4/2022,0.004236111,1,0,0,0,1
2022,1,4,1/4/2022,0.005925926,0,0,1,0,1
2022,1,6,1/6/2022,0.003136574,1,0,0,1,0
2022,1,7,1/7/2022,0.005173611,1,0,0,1,0
2022,1,6,1/6/2022,0.007164352,0,0,1,0,1
2022,1,1,1/1/2022,0.002060185,0,0,1,0,1
2022,1,1,1/1/2022,0.005393519,1,0,0,0,1
2022,1,5,1/5/2022,0.010335648,1,0,0,0,1
2022,1,3,1/3/2022,0.006099537,1,0,0,1,0
2022,1,3,1/3/2022,0.002141204,1,0,0,0,1
2022,1,5,1/5/2022,0.019097222,0,0,1,1,0
2022,1,5,1/5/2022,0.007141204,1,0,0,0,1
2022,1,4,1/4/2022,0.006909722,0,0,1,0,1
2022,1,1,1/1/2022,0.010509259,0,1,0,1,0
2022,1,1,1/1/2022,0.003043981,1,0,0,0,1
2022,1,2,1/2/2022,0.012881944,1,0,0,1,0
2022,1,5,1/5/2022,0.007569444,1,0,0,0,1
2022,1,7,1/7/2022,0.004143519,1,0,0,0,1
2022,1,7,1/7/2022,0.005810185,1,0,0,0,1
2022,1,5,1/5/2022,0.003900463,1,0,0,0,1
2022,1,5,1/5/2022,0.011539352,1,0,0,0,1
2022,1,3,1/3/2022,0.013831019,1,0,0,0,1
2022,1,1,1/1/2022,0.014479167,1,0,0,0,1
2022,1,4,1/4/2022,0.007152778,1,0,0,0,1
2022,1,2,1/2/2022,0.009618056,0,0,1,0,1
2022,1,1,1/1/2022,0.016481481,1,0,0,0,1
2022,1,7,1/7/2022,0.013078704,0,0,1,1,0
2022,1,5,1/5/2022,0.007418981,0,0,1,0,1
2022,1,4,1/4/2022,0.006180556,1,0,0,0,1
2022,1,3,1/3/2022,0.005150463,1,0,0,0,1
2022,1,7,1/7/2022,0.015462963,1,0,0,0,1
2022,1,1,1/1/2022,0.007384259,0,0,1,0,1
2022,1,6,1/6/2022,0.012013889,1,0,0,0,1
2022,1,1,1/1/2022,0.005856481,1,0,0,1,0
2022,1,1,1/1/2022,0.004826389,0,0,1,0,1
2022,1,7,1/7/2022,0.003506944,1,0,0,0,1
2022,1,7,1/7/2022,0.005983796,1,0,0,1,0
2022,1,4,1/4/2022,0.00306713,1,0,0,1,0
2022,1,2,1/2/2022,0.004351852,1,0,0,0,1
2022,1,7,1/7/2022,0.00494213,1,0,0,0,1
2022,1,4,1/4/2022,0.004583333,0,0,1,0,1
2022,1,7,1/7/2022,0.010208333,1,0,0,1,0
2022,1,4,1/4/2022,0.004710648,1,0,0,0,1
2022,1,5,1/5/2022,0.003043981,1,0,0,0,1
2022,1,1,1/1/2022,0.003229167,1,0,0,1,0
2022,1,2,1/2/2022,0.005960648,1,0,0,0,1
2022,1,2,1/2/2022,0.002766204,0,0,1,1,0
2022,1,1,1/1/2022,0.014976852,1,0,0,1,0
2022,1,3,1/3/2022,0.003923611,0,0,1,0,1
2022,1,1,1/1/2022,0.004328704,0,0,1,0,1
2022,1,4,1/4/2022,0.008553241,0,0,1,0,1
2022,1,2,1/2/2022,0.008472222,1,0,0,0,1
2022,1,4,1/4/2022,0.004166667,0,1,0,1,0
2022,1,4,1/4/2022,0.003402778,1,0,0,0,1
2022,1,4,1/4/2022,0.002430556,1,0,0,0,1
2022,1,1,1/1/2022,0.007569444,1,0,0,0,1
2022,1,6,1/6/2022,0.016458333,0,1,0,1,0
2022,1,5,1/5/2022,0.003912037,1,0,0,1,0
2022,1,4,1/4/2022,0.005636574,1,0,0,1,0
2022,1,7,1/7/2022,0.00181713,0,0,1,0,1
2022,1,6,1/6/2022,0.012256944,0,1,0,1,0
2022,1,4,1/4/2022,0.005289352,0,0,1,0,1
2022,1,2,1/2/2022,0.007743056,0,0,1,0,1
2022,1,2,1/2/2022,0.002164352,1,0,0,0,1
2022,1,2,1/2/2022,0.00787037,1,0,0,0,1
2022,1,4,1/4/2022,0.002974537,1,0,0,0,1
2022,1,6,1/6/2022,0.002337963,1,0,0,0,1
2022,1,5,1/5/2022,0.002256944,1,0,0,0,1
2022,1,1,1/1/2022,0.006724537,1,0,0,0,1
2022,1,4,1/4/2022,0.00505787,1,0,0,0,1
2022,1,1,1/1/2022,0.004074074,1,0,0,0,1
2022,1,4,1/4/2022,0.004444444,1,0,0,0,1
2022,1,5,1/5/2022,0.016423611,0,0,1,1,0
2022,1,7,1/7/2022,0.008912037,1,0,0,1,0
2022,1,4,1/4/2022,0.003240741,1,0,0,1,0
2022,1,1,1/1/2022,0.005659722,1,0,0,0,1
2022,1,7,1/7/2022,0.030509259,0,0,1,0,1
2022,1,1,1/1/2022,0.005671296,0,0,1,0,1
2022,1,4,1/4/2022,0.002581019,0,0,1,0,1
2022,1,4,1/4/2022,0.059537037,1,0,0,1,0
2022,1,2,1/2/2022,0.017303241,1,0,0,0,1
2022,1,4,1/4/2022,0.009351852,1,0,0,0,1
2022,1,2,1/2/2022,0.003703704,0,0,1,0,1
2022,1,5,1/5/2022,0.002650463,1,0,0,0,1
2022,1,6,1/6/2022,0.00962963,1,0,0,0,1
2022,1,4,1/4/2022,0.001793981,0,0,1,0,1
2022,1,5,1/5/2022,0.002291667,0,0,1,0,1
2022,1,7,1/7/2022,0.00119213,1,0,0,0,1
2022,1,7,1/7/2022,0.005694444,0,0,1,1,0
2022,1,2,1/2/2022,0.002604167,1,0,0,0,1
2022,1,6,1/6/2022,0.002835648,1,0,0,0,1
2022,1,4,1/4/2022,0.002673611,1,0,0,0,1
2022,1,2,1/2/2022,0.002986111,1,0,0,0,1
2022,1,6,1/6/2022,0.009131944,1,0,0,0,1
2022,1,1,1/1/2022,0.007013889,1,0,0,0,1
2022,1,6,1/6/2022,0.015578704,1,0,0,0,1
2022,1,3,1/3/2022,0.002696759,1,0,0,0,1
2022,1,3,1/3/2022,0.008171296,0,0,1,0,1
2022,1,7,1/7/2022,0.038587963,1,0,0,0,1
2022,1,1,1/1/2022,0.013888889,0,0,1,0,1
2022,1,2,1/2/2022,0.035601852,0,0,1,1,0
2022,1,3,1/3/2022,0.004641204,1,0,0,0,1
2022,1,4,1/4/2022,0.008402778,0,0,1,0,1
2022,1,7,1/7/2022,0.006631944,0,0,1,0,1
2022,1,1,1/1/2022,0.028298611,0,0,1,1,0
2022,1,6,1/6/2022,0.010405093,1,0,0,0,1
2022,1,7,1/7/2022,0.013425926,1,0,0,0,1
2022,1,6,1/6/2022,0.00662037,1,0,0,0,1
2022,1,6,1/6/2022,0.012465278,0,0,1,0,1
2022,1,5,1/5/2022,0.011828704,1,0,0,1,0
2022,1,2,1/2/2022,0.002199074,1,0,0,0,1
2022,1,7,1/7/2022,0.019571759,1,0,0,1,0
2022,1,7,1/7/2022,0.006006944,1,0,0,0,1
2022,1,2,1/2/2022,0.001608796,1,0,0,0,1
2022,1,5,1/5/2022,0.002384259,0,0,1,0,1
2022,1,3,1/3/2022,0.008634259,0,0,1,0,1
2022,1,4,1/4/2022,0.003877315,0,0,1,0,1
2022,1,1,1/1/2022,0.0115625,1,0,0,0,1
2022,1,4,1/4/2022,0.003449074,0,0,1,0,1
2022,1,1,1/1/2022,0.0053125,1,0,0,0,1
2022,1,2,1/2/2022,0.003136574,1,0,0,0,1
2022,1,6,1/6/2022,0.005277778,0,0,1,0,1
2022,1,7,1/7/2022,0.013263889,0,0,1,1,0
2022,1,3,1/3/2022,0.002881944,0,0,1,0,1
2022,1,4,1/4/2022,0.029398148,1,0,0,0,1
2022,1,2,1/2/2022,0.005162037,1,0,0,0,1
2022,1,1,1/1/2022,0.002592593,1,0,0,0,1
2022,1,2,1/2/2022,0.129849537,1,0,0,1,0
2022,1,4,1/4/2022,0.001724537,0,0,1,0,1
2022,1,5,1/5/2022,0.092372685,1,0,0,0,1
2022,1,5,1/5/2022,0.008020833,1,0,0,0,1
2022,1,6,1/6/2022,0.0078125,1,0,0,0,1
2022,1,4,1/4/2022,0.010243056,1,0,0,0,1
2022,1,7,1/7/2022,0.00494213,0,0,1,0,1
2022,1,1,1/1/2022,0.007997685,1,0,0,0,1
2022,1,3,1/3/2022,0.003622685,1,0,0,0,1
2022,1,6,1/6/2022,0.004513889,1,0,0,0,1
2022,1,6,1/6/2022,0.002962963,1,0,0,0,1
2022,1,5,1/5/2022,0.006539352,1,0,0,1,0
2022,1,6,1/6/2022,0.005474537,1,0,0,0,1
2022,1,4,1/4/2022,0.006493056,1,0,0,0,1
2022,1,5,1/5/2022,0.012604167,0,0,1,0,1
2022,1,5,1/5/2022,0.003310185,0,0,1,0,1
2022,1,4,1/4/2022,0.003564815,1,0,0,1,0
2022,1,4,1/4/2022,0.004131944,1,0,0,1,0
2022,1,7,1/7/2022,0.003229167,1,0,0,0,1
2022,1,6,1/6/2022,0.00318287,1,0,0,1,0
2022,1,6,1/6/2022,0.004907407,0,0,1,1,0
2022,1,2,1/2/2022,0.006701389,1,0,0,1,0
2022,1,3,1/3/2022,0.006979167,0,0,1,0,1
2022,1,4,1/4/2022,0.030069444,0,1,0,1,0
2022,1,4,1/4/2022,0.033831019,1,0,0,1,0
2022,1,7,1/7/2022,0.00193287,1,0,0,1,0
2022,1,5,1/5/2022,2.31e-05,1,0,0,0,1
2022,1,6,1/6/2022,0.035810185,1,0,0,1,0
2022,1,2,1/2/2022,0.018541667,1,0,0,1,0
2022,1,1,1/1/2022,0.059803241,1,0,0,0,1
2022,1,1,1/1/2022,0.003113426,0,0,1,0,1
2022,1,7,1/7/2022,0.001296296,1,0,0,0,1
2022,1,1,1/1/2022,0.009930556,1,0,0,1,0
2022,1,1,1/1/2022,0.010046296,1,0,0,1,0
2022,1,4,1/4/2022,0.009675926,1,0,0,1,0
2022,1,6,1/6/2022,0.001886574,0,0,1,0,1
2022,1,2,1/2/2022,0.017928241,1,0,0,0,1
2022,1,3,1/3/2022,0.013252315,0,0,1,0,1
2022,1,2,1/2/2022,0.011493056,0,0,1,0,1
2022,1,2,1/2/2022,0.004571759,1,0,0,0,1
2022,1,5,1/5/2022,0.005717593,0,0,1,1,0
2022,1,1,1/1/2022,0.007569444,1,0,0,1,0
2022,1,3,1/3/2022,0.009189815,0,0,1,0,1
2022,1,6,1/6/2022,0.009826389,1,0,0,1,0
2022,1,1,1/1/2022,0.006041667,1,0,0,0,1
2022,1,3,1/3/2022,0.011018519,0,0,1,1,0
2022,1,1,1/1/2022,0.000648148,0,0,1,0,1
2022,1,3,1/3/2022,0.006018519,0,0,1,0,1
2022,1,7,1/7/2022,0.003796296,1,0,0,0,1
2022,1,3,1/3/2022,0.005347222,0,0,1,0,1
2022,1,3,1/3/2022,0.007997685,1,0,0,0,1
2022,1,1,1/1/2022,0.013680556,0,0,1,0,1
2022,1,3,1/3/2022,0.003090278,1,0,0,0,1
2022,1,3,1/3/2022,0.008472222,0,0,1,0,1
2022,1,6,1/6/2022,0.009791667,1,0,0,0,1
2022,1,1,1/1/2022,0.007592593,0,0,1,1,0
2022,1,1,1/1/2022,0.008680556,1,0,0,0,1
2022,1,1,1/1/2022,0.00599537,0,0,1,0,1
2022,1,4,1/4/2022,0.010127315,1,0,0,0,1
2022,1,5,1/5/2022,0.010162037,1,0,0,0,1
2022,1,4,1/4/2022,0.002719907,1,0,0,0,1
2022,1,5,1/5/2022,0.01125,1,0,0,0,1
2022,1,7,1/7/2022,0.00837963,1,0,0,1,0
2022,1,3,1/3/2022,0.009594907,0,0,1,0,1
2022,1,7,1/7/2022,0.004490741,0,0,1,0,1
2022,1,6,1/6/2022,0.197326389,1,0,0,0,1
2022,1,3,1/3/2022,0.00318287,1,0,0,0,1
2022,1,2,1/2/2022,0.002696759,1,0,0,0,1
2022,1,7,1/7/2022,0.012893519,0,0,1,1,0
2022,1,2,1/2/2022,0.004583333,0,0,1,0,1
2022,1,2,1/2/2022,0.004398148,0,0,1,0,1
2022,1,6,1/6/2022,0.001712963,0,0,1,1,0
2022,1,4,1/4/2022,0.015462963,0,0,1,1,0
2022,1,5,1/5/2022,0.008240741,1,0,0,0,1
2022,1,5,1/5/2022,0.010300926,0,0,1,1,0
2022,1,3,1/3/2022,0.002916667,1,0,0,1,0
2022,1,4,1/4/2022,0.004664352,1,0,0,0,1
2022,1,1,1/1/2022,0.00712963,0,0,1,0,1
2022,1,3,1/3/2022,0.009837963,1,0,0,1,0
2022,1,1,1/1/2022,0.009664352,0,0,1,0,1
2022,1,7,1/7/2022,0.004664352,1,0,0,0,1
2022,1,7,1/7/2022,0.0065625,1,0,0,0,1
2022,1,6,1/6/2022,0.014270833,0,0,1,1,0
2022,1,7,1/7/2022,0.010520833,1,0,0,1,0
2022,1,3,1/3/2022,0.007627315,0,0,1,1,0
2022,1,6,1/6/2022,0.000787037,1,0,0,1,0
2022,1,6,1/6/2022,0.002581019,1,0,0,1,0
2022,1,6,1/6/2022,0.000474537,1,0,0,1,0
2022,1,2,1/2/2022,0.00943287,1,0,0,1,0
2022,1,2,1/2/2022,0.002488426,1,0,0,0,1
2022,1,4,1/4/2022,0.00462963,1,0,0,0,1
2022,1,4,1/4/2022,0.010162037,1,0,0,0,1
2022,1,1,1/1/2022,0.007615741,0,0,1,1,0
2022,1,6,1/6/2022,0.020497685,1,0,0,0,1
2022,1,1,1/1/2022,0.009768519,1,0,0,0,1
2022,1,2,1/2/2022,0.007546296,1,0,0,0,1
2022,1,3,1/3/2022,0.004918981,0,0,1,0,1
2022,1,3,1/3/2022,0.00962963,1,0,0,0,1
2022,1,4,1/4/2022,0.01037037,0,0,1,1,0
2022,1,5,1/5/2022,0.015185185,0,0,1,1,0
2022,1,7,1/7/2022,0.007164352,1,0,0,0,1
2022,1,4,1/4/2022,0.003680556,0,0,1,0,1
2022,1,2,1/2/2022,0.00630787,1,0,0,0,1
2022,1,5,1/5/2022,0.002523148,1,0,0,0,1
2022,1,7,1/7/2022,0.007928241,0,1,0,1,0
2022,1,5,1/5/2022,0.013460648,1,0,0,0,1
2022,1,5,1/5/2022,0.005300926,0,0,1,1,0
2022,1,4,1/4/2022,0.01244213,1,0,0,0,1
2022,1,7,1/7/2022,0.014849537,0,0,1,0,1
2022,1,5,1/5/2022,0.005034722,0,0,1,0,1
2022,1,5,1/5/2022,0.010138889,1,0,0,1,0
2022,1,2,1/2/2022,0.004675926,1,0,0,0,1
2022,1,4,1/4/2022,0.005104167,1,0,0,0,1
2022,1,6,1/6/2022,0.015983796,1,0,0,0,1
2022,1,1,1/1/2022,0.018865741,1,0,0,0,1
2022,1,4,1/4/2022,0.002546296,0,0,1,0,1
2022,1,1,1/1/2022,0.018043981,1,0,0,1,0
2022,1,5,1/5/2022,0.011956019,1,0,0,1,0
2022,1,6,1/6/2022,0.015046296,0,0,1,1,0
2022,1,6,1/6/2022,0.005266204,0,0,1,0,1
2022,1,5,1/5/2022,0.000138889,0,0,1,0,1
2022,1,3,1/3/2022,0.005821759,0,0,1,0,1
2022,1,5,1/5/2022,0.006157407,0,0,1,0,1
2022,1,7,1/7/2022,0.018946759,0,0,1,1,0
2022,1,1,1/1/2022,0.005405093,0,0,1,1,0
